Автор,Название,Том,Количество томов,Год издания,Номер первого тома в году,Номер последнего тома в году,Том (старая маркировка)
Мигель де Сервантес Сааведра,Хитроумный Идальго Дон Кихот Ламанчский,1,2,1979,,,
Мигель де Сервантес Сааведра,Хитроумный Идальго Дон Кихот Ламанчский,2,2,1979,,,
Н.С. Лесков,Собрание сочинений в 5-ти томах,1,5,1981,,,
Н.С. Лесков,Собрание сочинений в 5-ти томах,2,5,1981,,,
Н.С. Лесков,Собрание сочинений в 5-ти томах,3,5,1981,,,
Этель Лилиан Войнич,Собрание сочинений в 3-ти томах,1,3,1975,,,
Этель Лилиан Войнич,Собрание сочинений в 3-ти томах,2,3,1975,,,
Этель Лилиан Войнич,Собрание сочинений в 3-ти томах,3,3,1975,,,
И.А. Гончаров,Собрание сочинений в 4-ти томах,1,4,1981,,,
И.А. Гончаров,Собрание сочинений в 4-ти томах,2,4,1981,,,
И.А. Гончаров,Собрание сочинений в 4-ти томах,3,4,1981,,,
Остап Вишня,Твори в чотирьох томах,1,4,1988,,,
Остап Вишня,Твори в чотирьох томах,2,4,1988,,,
Остап Вишня,Твори в чотирьох томах,3,4,1988,,,
Остап Вишня,Твори в чотирьох томах,4,4,1988,,,
Н.А. Некрасов,Собрание сочинений в 4-ти томах,1,4,1979,,,
Н.А. Некрасов,Собрание сочинений в 4-ти томах,2,4,1979,,,
Н.А. Некрасов,Собрание сочинений в 4-ти томах,3,4,1979,,,
Н.А. Некрасов,Собрание сочинений в 4-ти томах,4,4,1979,,,
Ф.И. Тютчев,Собрание сочинений в 2-ти томах,1,4,1980,,,
Ф.И. Тютчев,Собрание сочинений в 2-ти томах,2,4,1980,,,
Джорж Гордон Байрон,Собрание сочинений в 4-ти томах,1,4,1981,,,
Джорж Гордон Байрон,Собрание сочинений в 4-ти томах,2,4,1981,,,
Джорж Гордон Байрон,Собрание сочинений в 4-ти томах,3,4,1981,,,
Джорж Гордон Байрон,Собрание сочинений в 4-ти томах,4,4,1981,,,
А.С. Сирафимович,Собрание сочинений в 4-ти томах,1,4,1980,,,
А.С. Сирафимович,Собрание сочинений в 4-ти томах,2,4,1980,,,
А.С. Сирафимович,Собрание сочинений в 4-ти томах,3,4,1980,,,
А.С. Сирафимович,Собрание сочинений в 4-ти томах,4,4,1980,,,
Александр Солженицын,Малое собрание сочинений,2,7,1978,,,
Александр Солженицын,Малое собрание сочинений,3,7,1978,,,
Александр Солженицын,Малое собрание сочинений,4,7,1978,,,
Александр Солженицын,Малое собрание сочинений,5,7,1978,,,
Александр Солженицын,Малое собрание сочинений,6,7,1978,,,
Александр Солженицын,Малое собрание сочинений,7,7,1978,,,
К.М. Станюкович,Собрание сочинений в 10-ти томах,1,10,1977,,,
К.М. Станюкович,Собрание сочинений в 10-ти томах,2,10,1977,,,
К.М. Станюкович,Собрание сочинений в 10-ти томах,3,10,1977,,,
К.М. Станюкович,Собрание сочинений в 10-ти томах,4,10,1977,,,
К.М. Станюкович,Собрание сочинений в 10-ти томах,5,10,1977,,,
К.М. Станюкович,Собрание сочинений в 10-ти томах,6,10,1977,,,
К.М. Станюкович,Собрание сочинений в 10-ти томах,8,10,1977,,,
К.М. Станюкович,Собрание сочинений в 10-ти томах,9,10,1977,,,
К.М. Станюкович,Собрание сочинений в 10-ти томах,10,10,1977,,,
А.К. Толстой,Собрание сочинений в 4-ти томах,1,4,1980,,,
А.К. Толстой,Собрание сочинений в 4-ти томах,2,4,1980,,,
А.К. Толстой,Собрание сочинений в 4-ти томах,3,4,1980,,,
